Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6",603,3,1uF,
"C2, C3",603,2,22pF,
C4,603,1,0.1uF,
D5,603,1,FEED LED GREEN,
D6,603,1,CAL LED YELLOW,
F1,805,1,500mA,
J1,testPoints 6pin,1,ICSP,
J2,1pin,1,Conn_VCC,
J3,1pin,1,Conn_GND,
P1,USB_C_Plug_Molex_105444,1,USB_C_Plug,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",603,9,PT0603,
"R1, R2",603,2,22R,
R3,603,1,10K,
"R4, R5",603,2,330R,
R6,603,1,4K7,
R7,603,1,5K1,
R8,603,1,NC,
"RN2, RN3",R_Array_Concave_4x0603,2,4K7,
SW1,SW_SPST_SKQG_WithStem,1,SW_Push,
U1,TQFP-44-1EP_10x10mm_P0.8mm_EP4.5x4.5mm,1,ATmega32U4-M,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16M,
